,Unnamed: 0,DebugRVA,DebugSize,Dll,ExportRVA,ExportSize,IATRVA,ImageVersion,LinkerVersion,NumberOfSections,OSVersion,ResSize,StackReserveSize,filename,clean
69,sample164,0,0,0,0,0,16384,0,6,4,4,1216,1048576,samples/zippedMalware/345004633174388211c2475cedb6de9a,0
70,sample165,0,0,0,0,0,20480,5,0,4,4,0,1048576,samples/zippedMalware/8bc29a27bc9b961974a97fa49ea95193,0
71,sample166,0,0,0,0,0,20480,5,5,4,4,0,1048576,samples/zippedMalware/1632f8e70cce8583b46a72a51db3068e,0
72,sample167,0,0,0,0,0,0,5,7,3,4,0,1048576,samples/zippedMalware/c49ea2fadc1e9d8b13725c37a5d35d62,0
73,sample168,0,0,0,0,0,20480,0,6,4,4,0,1048576,samples/zippedMalware/77ff8bb38d650dfb787590bc5177c0d4,0
74,sample169,0,0,0,0,0,0,5,2,3,4,0,1048576,samples/zippedMalware/9f5bd959c3e60aa4f06de42fe4e61293,0
75,sample17,0,0,0,0,0,0,0,4,3,4,0,1048576,samples/zippedMalware/ce0d8a431640e64262657a63b6cb97de,0
76,sample170,0,0,0,0,0,20480,5,5,4,4,0,1048576,samples/zippedMalware/8495fc222905dee21c97f8ba4e7695f4,0
77,sample171,0,0,0,0,0,20480,5,7,4,4,0,1048576,samples/zippedMalware/070158033aeb44502529174a5c01b7c5,0
78,sample172,0,0,0,0,0,0,5,7,3,4,0,1048576,samples/zippedMalware/2114dedd415b037049b46fa59df36233,0
79,sample173,0,0,0,0,0,0,5,7,3,4,0,1048576,samples/zippedMalware/0aa7d3b3e3c839e3d4acb6be8c548c44,0
80,sample174,53248,28,320,0,0,49820,0,14,8,6,180948,1048576,samples/zippedMalware/a825bfdc-d63e-11e6-bb36-80e65024849a.file,0
81,sample175,0,0,0,0,0,20480,5,0,4,4,0,1048576,samples/zippedMalware/c08141b7e8e88b0ef7db8bf4084ab951,0
82,sample176,0,0,0,0,0,0,4,7,3,4,0,1048576,samples/zippedMalware/746413976f56dbf34ec18dc044c7ecea,0
83,sample177,0,0,0,0,0,20480,5,7,4,4,0,1048576,samples/zippedMalware/706f69a91acf87ef094a3f20e056f9d0,0
84,sample178,0,0,0,0,0,20480,4,4,4,4,0,1048576,samples/zippedMalware/86d12efe1974c9b23773601ddc077ada,0
85,sample179,0,0,0,0,0,0,4,6,3,4,0,1048576,samples/zippedMalware/666fe7bc1975f713eebee8f91d163750,0
86,sample18,0,0,33024,0,0,12288,0,10,4,5,195128,1048576,samples/zippedMalware/eaa153d1-db13-11e6-8280-80e65024849a.file,0
87,sample180,0,0,0,0,0,88872,0,2,4,4,0,1048576,samples/zippedMalware/f4ef386b-e60e-11e6-82dd-80e65024849a.file,0
88,sample182,0,0,0,0,0,0,5,6,3,4,0,1048576,samples/zippedMalware/757926c4cce631c4beb7ce6fe8ebd8e2,0
89,sample183,0,0,0,0,0,0,5,6,3,4,0,1048576,samples/zippedMalware/bfbc559af94d6405ccfe2b11a9328a9c,0
90,sample184,0,0,0,0,0,20480,5,7,4,4,0,1048576,samples/zippedMalware/3601f0e561d42591694166b3849b3c5a,0
91,sample185,333552,28,0,0,0,331776,0,7,4,4,627336,1048576,samples/zippedMalware/ad520eca-db13-11e6-92c2-80e65024849a.file,0
92,sample186,0,0,0,0,0,0,5,6,3,4,0,1048576,samples/zippedMalware/e1148d30f292f8db1f3c38c5e4437628,0
93,sample187,0,0,0,0,0,0,4,7,3,4,0,1048576,samples/zippedMalware/9cb028ecde0a81ab5b4a127f0f80d285,0
94,sample188,0,0,0,0,0,20480,5,6,4,4,0,1048576,samples/zippedMalware/9d93d5811c98e59256a440f04a2e934b,0
95,sample189,345888,28,0,0,0,344064,0,7,4,4,877720,1048576,samples/zippedMalware/a807e32e-dd50-11e6-a4c3-80e65024849a.file,0
96,sample19,53248,28,320,0,0,49820,0,14,8,6,180948,1048576,samples/zippedMalware/edbc8d28-dcda-11e6-bf98-80e65024849a.file,0
97,sample190,0,0,0,0,0,0,0,6,3,4,0,1048576,samples/zippedMalware/2f34f1639fade223c0ac4ab6806b0312,0
98,sample191,0,0,0,0,0,20480,5,6,4,4,0,1048576,samples/zippedMalware/8575722a4c53182565e191b7aae9c560,0
